symbol	overallAssociationScore	geneticAssociations	somaticMutations	drugs	pathwaysSystemsBiology	textMining	rnaExpression	animalModels	targetName
PMS2	0.672854362354467	0.7102250212321574	0.6758982534381345	No data	0.8199289732411768	0.2708374817552638	No data	0.29369136832617415	PMS1 homolog 2, mismatch repair system component
CUX1	0.6720462459349303	0.6197171003315558	0.7544945802661642	No data	0.8749992855750762	0.8357021718024191	No data	No data	cut like homeobox 1
CBFB	0.6717704099655378	No data	0.8837928986534456	No data	No data	0.012158615952232422	No data	No data	core-binding factor subunit beta
TUBB4B	0.6706135322899904	No data	No data	0.9971234842441693	0.8478788368582205	No data	No data	No data	tubulin beta 4B class IVb
PIK3CB	0.6704879509535336	No data	0.8570765220994967	0.6092403686988892	0.8928590950787524	0.4839003569852179	No data	No data	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta
PPM1D	0.670044568800871	0.5879366291568389	0.8840288244172203	No data	No data	0.7776734605887153	No data	No data	protein phosphatase, Mg2+/Mn2+ dependent 1D
EBF1	0.667245394827008	0.7653330893829491	0.8840288244172203	No data	0.35376320397354755	0.20419203065153188	No data	No data	EBF transcription factor 1
TUBB2A	0.6664288465003319	No data	No data	0.9971234842441693	0.741504556724663	0.2885982591995168	No data	No data	tubulin beta 2A class IIa
KRAS	0.6641248244480574	0.7416755730861777	0.6895420276094133	No data	0.9793776545336694	0.18899167087792165	No data	0.6215323158085636	KRAS proto-oncogene, GTPase
TUBB	0.6636124869984672	No data	No data	0.9971234842441693	0.7449416750862422	0.06079307976116211	No data	No data	tubulin beta class I
TOP2A	0.6632574245800652	No data	No data	0.956909354000263	0.7145826129667254	0.6135293751278873	No data	No data	DNA topoisomerase II alpha
TUBB2B	0.6631049091652972	No data	No data	0.9971234842441693	0.741504556724663	0.04255515583281348	No data	No data	tubulin beta 2B class IIb
TUBB6	0.6630718294869458	No data	No data	0.9971234842441693	0.741504556724663	0.04010654567576667	No data	No data	tubulin beta 6 class V
MLH1	0.6598091786112461	0.6818623458241515	0.6978031094081049	No data	0.8804017177555876	0.5413068438083635	No data	0.5288378830285497	mutL homolog 1
TERT	0.6593104462012234	0.6827326519640882	0.8429314618235775	0.13678442946261474	0.336139788756878	0.4769994816657506	No data	No data	telomerase reverse transcriptase
TYMS	0.6550110349799488	No data	No data	0.9831127348376153	0.3065375540105053	0.7963331481991244	No data	No data	thymidylate synthetase
POLE2	0.653675578150466	No data	No data	0.9707981588451263	0.8334267210607424	0.012158615952232422	No data	No data	DNA polymerase epsilon 2, accessory subunit
POLD2	0.6535113204372727	No data	No data	0.9707981588451263	0.8334267210607424	No data	No data	No data	DNA polymerase delta 2, accessory subunit
POLD3	0.6535113204372727	No data	No data	0.9707981588451263	0.8334267210607424	No data	No data	No data	DNA polymerase delta 3, accessory subunit
TCF7L2	0.6520706701829581	0.7501662885373793	0.846033149566494	No data	0.5933840320427929	0.48529899549136474	No data	No data	transcription factor 7 like 2
SETBP1	0.6506410084628937	0.7315397463048172	0.8840288244172203	No data	No data	0.1503581732159542	No data	No data	SET binding protein 1
SCN4A	0.6479225091765451	No data	No data	0.9576233989108921	0.8652794393496345	No data	No data	No data	sodium voltage-gated channel alpha subunit 4
FOXP1	0.6420085998138049	0.623198534627504	0.8840288244172203	No data	No data	0.730212251187314	No data	No data	forkhead box P1
SUZ12	0.6378308497240015	No data	0.8381820024672366	No data	0.8466384307003793	0.287555761799619	No data	0.5093852153187773	SUZ12 polycomb repressive complex 2 subunit
DROSHA	0.6315669222239948	0.5592963338026914	0.8877814836617365	No data	No data	0.5073328399810499	No data	No data	drosha ribonuclease III
SCN5A	0.6299180769320962	0.0036761700583151915	No data	0.9216622682878737	0.8652794393496345	0.27519507380884056	No data	No data	sodium voltage-gated channel alpha subunit 5
MUTYH	0.6295030500979949	0.6714672545778961	0.6205960225618631	No data	0.5909845077151846	0.781199129767427	No data	No data	mutY DNA glycosylase
CDC73	0.6293568900417308	0.5592963338026914	0.8792793650608796	No data	No data	0.42353177373314477	No data	0.4881014736595614	cell division cycle 73
CYP19A1	0.6274336811489888	No data	No data	0.9964312252304726	No data	0.7129907454811416	No data	No data	cytochrome P450 family 19 subfamily A member 1
NRG1	0.6266904486890766	No data	0.9009157910175432	No data	0.9752086468361466	0.3618598352336467	No data	No data	neuregulin 1
SCN9A	0.6264712746368609	No data	No data	0.9216622682878737	0.8652794393496345	0.030396539880581056	No data	No data	sodium voltage-gated channel alpha subunit 9
SCN3A	0.6262248880670711	No data	No data	0.9216622682878737	0.8652794393496345	0.012158615952232422	No data	No data	sodium voltage-gated channel alpha subunit 3
ESR2	0.6261155265360359	No data	No data	0.9812588300056174	No data	0.9730733650434623	No data	No data	estrogen receptor 2
SCN11A	0.6260606303538779	No data	No data	0.9216622682878737	0.8652794393496345	No data	No data	No data	sodium voltage-gated channel alpha subunit 11
SCN7A	0.6260606303538779	No data	No data	0.9216622682878737	0.8652794393496345	No data	No data	No data	sodium voltage-gated channel alpha subunit 7
SCN8A	0.6260606303538779	No data	No data	0.9216622682878737	0.8652794393496345	No data	No data	No data	sodium voltage-gated channel alpha subunit 8
SCN10A	0.6260606303538779	No data	No data	0.9216622682878737	0.8652794393496345	No data	No data	No data	sodium voltage-gated channel alpha subunit 10
SCN2A	0.6260606303538779	No data	No data	0.9216622682878737	0.8652794393496345	No data	No data	No data	sodium voltage-gated channel alpha subunit 2
SCN1A	0.6260606303538779	No data	No data	0.9216622682878737	0.8652794393496345	No data	No data	No data	sodium voltage-gated channel alpha subunit 1
TOP1	0.6249078098090785	0.054194455842947846	0.45643230612858215	0.8608651486130222	0.7412455668055016	0.768366664141193	No data	No data	DNA topoisomerase I
TET2	0.6232682819626918	0.6929353235014372	0.6964251798417591	No data	No data	0.822719815839969	No data	No data	tet methylcytosine dioxygenase 2
CDKN1B	0.6223928194635834	No data	0.7613708490338744	No data	0.9639873485831928	0.5576871795065431	No data	0.24973797165885395	cyclin dependent kinase inhibitor 1B
FGFR4	0.6223366020274341	No data	0.640350671796498	0.18616559564646107	0.9319461222797267	0.371271963805441	No data	No data	fibroblast growth factor receptor 4
PTPN13	0.6213216622731372	No data	0.7688884238423073	No data	0.8086113871903001	0.5385395120267218	No data	No data	protein tyrosine phosphatase non-receptor type 13
NTRK3	0.6191506543942986	No data	0.893195867327965	0.12158615952232422	0.8274613634158176	0.6402662875750695	No data	No data	neurotrophic receptor tyrosine kinase 3
PARP1	0.6190158213028369	No data	No data	0.8974728536865538	0.8626214555488337	0.5820068979747075	No data	No data	poly(ADP-ribose) polymerase 1
H3C2	0.6187126081169517	No data	0.8657525601820495	No data	0.607930797611621	No data	No data	No data	H3 clustered histone 2
ARID1B	0.6180328341533579	No data	0.7625576954172436	No data	0.7771568661691768	0.10384648056550073	No data	No data	AT-rich interaction domain 1B
POLA1	0.6157218152626073	No data	No data	0.9707981588451263	0.336139788756878	No data	No data	No data	DNA polymerase alpha 1, catalytic subunit
POLA2	0.6157218152626073	No data	No data	0.9707981588451263	0.336139788756878	No data	No data	No data	DNA polymerase alpha 2, accessory subunit
MRTFA	0.6135977803906495	0.665331391161915	0.8381820024672366	No data	No data	0.2163107745992913	No data	No data	myocardin related transcription factor A
JAK1	0.6135480773616377	No data	0.8521605384891806	0.18076085711873713	0.8392193374903307	0.712890281096192	No data	No data	Janus kinase 1
KIT	0.6134883706702857	0.19453785523571876	0.7020541687085334	0.760981269435097	0.9699739866566945	0.8251143012662749	No data	No data	KIT proto-oncogene, receptor tyrosine kinase
CACNA1D	0.6124378556362333	No data	0.7412475111689634	0.06079307976116211	0.835990918484743	0.06822334506530414	No data	No data	calcium voltage-gated channel subunit alpha1 D
VEGFA	0.6112732879311923	No data	No data	0.956515806682805	No data	0.9796467217446434	No data	No data	vascular endothelial growth factor A
PDGFRB	0.6107244073488446	No data	0.5818373325263794	0.7610124400458042	0.9694646685521148	0.9055305530922239	No data	No data	platelet derived growth factor receptor beta
KAT6B	0.6101889746633617	No data	0.7590466652242289	No data	0.7376001659685714	0.03343619386863916	No data	No data	lysine acetyltransferase 6B
HMGA2	0.6084389882683775	No data	0.8761776773179629	No data	0.8498114348458643	0.8294322765678956	No data	No data	high mobility group AT-hook 2
TUBB3	0.6080421910346788	No data	No data	0.9971234842441693	No data	0.06119498956624979	No data	No data	tubulin beta 3 class III
STAG2	0.6071579090376911	No data	0.8901562133399069	No data	0.8440827759020608	0.1377943495221297	No data	No data	stromal antigen 2
TUBB4A	0.6065516549485211	No data	No data	0.9971234842441693	No data	0.012158615952232422	No data	No data	tubulin beta 4A class IVa
NCOR2	0.606529773700485	No data	0.7263759813462852	No data	0.8766121534507069	0.10061075491847184	No data	No data	nuclear receptor corepressor 2
TUBB8	0.6061820750938365	No data	No data	0.9971234842441693	No data	No data	No data	No data	tubulin beta 8 class VIII
TUBB1	0.6061820750938365	No data	No data	0.9971234842441693	No data	No data	No data	No data	tubulin beta 1 class VI
KDM6A	0.6051793770358466	No data	0.7395826889613065	No data	0.8408644818317029	0.26665334512056005	No data	No data	lysine demethylase 6A
PRDM16	0.6034465951626081	No data	0.8930646439182859	No data	0.792690787901437	0.021277577916406734	No data	No data	PR/SET domain 16
MECOM	0.6033399320819056	No data	0.8792793650608796	No data	0.792690787901437	0.6337197564173239	No data	No data	MDS1 and EVI1 complex locus
FAT4	0.6028906028263915	0.43626778327292326	0.7284612131332193	No data	No data	0.2264339577504085	No data	No data	FAT atypical cadherin 4
FDPS	0.6028292089341549	0.08725008167020756	No data	0.9670938389314168	No data	0.12158615952232422	No data	No data	farnesyl diphosphate synthase
APC	0.6020171739998463	0.7521031313652223	0.7020541687085334	No data	0.8894592812234758	0.7578609510181802	No data	0.47102478198948405	APC regulator of WNT signaling pathway
MAML2	0.6008576687541554	No data	0.8809271366743038	No data	0.8595048275182263	No data	No data	No data	mastermind like transcriptional coactivator 2
MDM2	0.5998374582602077	No data	0.8381820024672366	No data	0.9723811328089553	0.8518109010005378	No data	0.6422636894067373	MDM2 proto-oncogene
ABI1	0.5992127362670725	No data	0.8826395267823723	No data	0.8157084057436247	0.0475368109799087	No data	No data	abl interactor 1
LRP1B	0.5967761383298742	No data	0.7833832727576555	No data	No data	0.10900536940508372	No data	No data	LDL receptor related protein 1B
WWTR1	0.5964108209871826	No data	0.8573090768818881	No data	0.6412728258136327	0.2715436208061997	No data	No data	WW domain containing transcription regulator 1
ERBB3	0.59628798305336	No data	0.6788908932886115	0.19316623884577602	0.8653711537519945	0.940296976465048	No data	No data	erb-b2 receptor tyrosine kinase 3
NCOA2	0.5958691809289931	No data	0.8792793650608796	No data	0.7769071886322989	0.1695056756907124	No data	No data	nuclear receptor coactivator 2
RRM1	0.5958672331560655	No data	No data	0.9706337643622676	No data	0.19045176264421695	No data	No data	ribonucleotide reductase catalytic subunit M1
RAD50	0.5955128674038429	0.6832957132403435	No data	No data	0.9518084804528564	0.1667546321909143	No data	0.2551485557575973	RAD50 double strand break repair protein
ARHGEF12	0.5952211449915461	0.39898002325309256	0.7111642399998431	No data	0.5962641385328171	No data	No data	No data	Rho guanine nucleotide exchange factor 12
MAPK1	0.5947674129522065	No data	0.8381820024672366	No data	0.9765864699217789	0.8141364253993864	No data	No data	mitogen-activated protein kinase 1
MAX	0.5942706447281315	No data	0.7669292961848007	No data	0.3203066395025551	0.08589217821922189	No data	No data	MYC associated factor X
SYK	0.5940575439736961	No data	0.8412836902101531	No data	0.9396610848300768	0.8297201425896386	No data	No data	spleen associated tyrosine kinase
FOXO3	0.5938967591853629	No data	0.8381820024672366	No data	0.9304233210555642	0.8650493946130401	No data	0.2565467965921041	forkhead box O3
AFF3	0.5938450347484807	No data	0.7700889310306617	No data	No data	0.6398471644862311	No data	No data	AF4/FMR2 family member 3
GPC3	0.5934561522166697	No data	0.8961663316612024	No data	0.5221563365893791	0.6639495162818326	No data	No data	glypican 3
PREX2	0.593309597141092	No data	0.7807593883672663	No data	No data	No data	No data	No data	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2
FANCD2	0.5929387485717602	0.2279740491043579	0.8381820024672366	No data	0.8199289732411768	0.455472696375643	No data	0.455279374331343	FA complementation group D2
ATP2B3	0.5921082472876739	No data	0.8719559356678823	No data	0.8161373640363875	No data	No data	No data	ATPase plasma membrane Ca2+ transporting 3
PTGS2	0.5919342214014464	No data	No data	0.8778849509268538	0.5942447826343955	0.9684584121491303	No data	No data	prostaglandin-endoperoxide synthase 2
POLQ	0.5910173046488416	0.28207989009179213	0.8277568853313232	No data	0.7867460039566563	0.01823792392834863	No data	No data	DNA polymerase theta
TP63	0.5909685067639929	No data	0.8429314618235775	No data	0.9427766905147259	0.5093897137690739	No data	No data	tumor protein p63
TGFBR2	0.5908961510695024	0.7414761160689863	0.6964251798417591	No data	0.6601377669997517	0.6061128018346448	No data	No data	transforming growth factor beta receptor 2
ZFHX3	0.5903847850374832	No data	0.7763611239975639	No data	No data	0.03090314887859074	No data	No data	zinc finger homeobox 3
PRIM1	0.5901780990266109	No data	No data	0.9707981588451263	No data	No data	No data	No data	DNA primase subunit 1
POLD4	0.5901780990266109	No data	No data	0.9707981588451263	No data	No data	No data	No data	DNA polymerase delta 4, accessory subunit
POLE3	0.5901780990266109	No data	No data	0.9707981588451263	No data	No data	No data	No data	DNA polymerase epsilon 3, accessory subunit
PRIM2	0.5901780990266109	No data	No data	0.9707981588451263	No data	No data	No data	No data	DNA primase subunit 2
MYB	0.5899357723658972	No data	0.8761776773179629	No data	0.5955733828040017	0.8898839874181941	No data	No data	MYB proto-oncogene, transcription factor
RANBP2	0.5898834179859539	No data	0.833960260817156	No data	0.7010634855570693	0.01823792392834863	No data	0.3703818384448801	RAN binding protein 2
MYH9	0.5889945152928461	No data	0.7388321694353189	No data	0.6810160966813856	0.09269583367290052	No data	No data	myosin heavy chain 9
GNRHR	0.5882309542700818	No data	No data	0.9543968711505513	No data	0.263967648456512	No data	No data	gonadotropin releasing hormone receptor
MITF	0.5866441669194588	0.4377101742803672	0.846033149566494	No data	No data	0.4285987080615716	No data	No data	melanocyte inducing transcription factor
HIF1A	0.5863492881783644	No data	0.821677577355207	No data	0.7778133876914493	0.9580111448061917	No data	No data	hypoxia inducible factor 1 subunit alpha
MLLT10	0.5857462471311733	0.4548891607615295	0.8497858088110102	No data	No data	No data	No data	No data	MLLT10 histone lysine methyltransferase DOT1L cofactor
ELL	0.5849460049330055	0.28637718168682724	0.8278809528410398	No data	0.8199289732411768	No data	No data	No data	elongation factor for RNA polymerase II
CASP8	0.5833720377881138	0.46553695133187095	0.7028796975676432	No data	0.8608395506588957	0.2969398837164084	No data	No data	caspase 8
SND1	0.5833541680185514	No data	0.88467979591882	No data	0.5933840320427929	0.032422975872619796	No data	No data	staphylococcal nuclease and tudor domain containing 1
KAT6A	0.583168251444408	No data	0.8484078792446644	No data	0.8712262103188536	0.08803513428080288	No data	No data	lysine acetyltransferase 6A
EPS15	0.582969456563594	No data	0.8658766276917661	No data	0.7423493616853921	0.012158615952232422	No data	No data	epidermal growth factor receptor pathway substrate 15
KLF4	0.5816392774647338	0.7228650342594034	0.6256170902127353	No data	0.35376320397354755	0.9174822128376258	No data	No data	Kruppel like factor 4
CDKN2A	0.5802673166033572	0.6578935240170436	0.6902822619540052	No data	No data	0.8978638826363634	No data	0.6598444401428678	cyclin dependent kinase inhibitor 2A
IKBKB	0.5797139533617494	No data	0.8381820024672366	No data	0.8918443815732455	0.17652976369084705	No data	No data	inhibitor of nuclear factor kappa B kinase subunit beta
EPAS1	0.579354508154686	No data	0.7074001892996888	No data	0.7153055862617832	0.18284909694130425	No data	No data	endothelial PAS domain protein 1
RET	0.5792120949688333	0.6438493755705077	0.7001778390862753	0.5012960590025564	0.9441498091971382	0.8019360281345463	No data	No data	ret proto-oncogene
OPRM1	0.5790482241587773	No data	No data	0.8535883722198931	0.7497976505604489	0.23297765730803355	No data	No data	opioid receptor mu 1
TRRAP	0.5788892432260366	No data	0.8429314618235775	No data	0.8452074195163523	0.16409065445533672	No data	No data	transformation/transcription domain associated protein
NUP98	0.5788512198419015	No data	0.8387097201734968	No data	0.8073460814970513	0.5642245039824418	No data	No data	nucleoporin 98 and 96 precursor
SF3B1	0.5784514510937265	No data	0.6814172907766451	No data	0.3489574588920303	0.07202291255037678	No data	No data	splicing factor 3b subunit 1
CDH11	0.5784242441504485	No data	0.8277568853313232	No data	0.8462566258719078	0.8066248431833677	No data	No data	cadherin 11
TBL1XR1	0.5783662595658604	No data	0.8381820024672366	No data	0.8766121534507069	0.16245261869510544	No data	No data	TBL1X receptor 1
CDK12	0.5774566712501821	No data	0.846033149566494	No data	0.7542640279394895	0.4300300382148256	No data	No data	cyclin dependent kinase 12
PBX1	0.5768921258204323	No data	0.8412836902101531	No data	0.738422853285633	0.6910737702867301	No data	No data	PBX homeobox 1
WRN	0.5756008066326024	0	0.8277568853313232	No data	0.9395563034858366	0.07281884200302834	No data	No data	WRN RecQ like helicase
CREB1	0.5752113507698758	No data	0.8132340940550455	No data	0.9366224345442363	0.714019322760326	No data	No data	cAMP responsive element binding protein 1
NDRG1	0.5746854026504364	No data	0.833960260817156	No data	0.8137846177404181	0.43337302560456803	No data	No data	N-myc downstream regulated 1
DDR2	0.5745943067412878	No data	0.8521605384891806	No data	0.7173183307908352	0.15024033105390522	No data	No data	discoidin domain receptor tyrosine kinase 2
PLAG1	0.574349889697405	No data	0.7538371674079721	No data	No data	0.11094737056412086	No data	No data	PLAG1 zinc finger
GNAQ	0.5742989309857303	No data	0.8412836902101531	No data	0.8163478850734516	0.06079307976116211	No data	No data	G protein subunit alpha q
TRIM24	0.574161800131965	No data	0.833960260817156	No data	0.8749992855750762	0.05028263174912119	No data	No data	tripartite motif containing 24
USP8	0.573390023971339	No data	0.8278809528410398	No data	0.872701548798856	0.2796481669013457	No data	No data	ubiquitin specific peptidase 8
MTOR	0.573289446639608	No data	0.6500453799334938	0.1933783626131518	0.9712277785295741	0.935234260603663	No data	No data	mechanistic target of rapamycin kinase
EXT1	0.5729775957817502	0.2279740491043579	0.8840288244172203	No data	No data	0.06670351807127509	No data	No data	exostosin glycosyltransferase 1
PIK3R1	0.572947741861526	No data	0.6359360419242399	0.6091905247017017	0.986626203558145	0.7388585561301345	No data	No data	phosphoinositide-3-kinase regulatory subunit 1
ENSG00000267618	0.5724197885200308	0.9415870865054009	No data	No data	No data	No data	No data	No data	RAD51L3-RFFL readthrough
FBXW7	0.5720490170574117	No data	0.6633517638312683	No data	0.8781694519115368	0.7894344155583627	No data	No data	F-box and WD repeat domain containing 7
CLTC	0.5713038347725719	No data	0.7211381930676148	No data	0.5876994384743872	No data	No data	No data	clathrin heavy chain
FHIT	0.5712422854502238	0.03510526932591014	0.8961663316612024	No data	No data	0.7701060618827279	No data	No data	fragile histidine triad diadenosine triphosphatase
FKBP1A	0.5693643100282044	No data	No data	0.9291054606442632	No data	0.1491119150808504	No data	No data	FKBP prolyl isomerase 1A
BRAF	0.5674214497391824	No data	0.6309770611913676	0.49894110102476974	0.9581267744057287	0.2847618990700278	No data	No data	B-Raf proto-oncogene, serine/threonine kinase
RSPO2	0.5664268353419205	No data	0.9046684502620593	No data	No data	0.5412136665774743	No data	No data	R-spondin 2
PTPRK	0.5649286826656423	0.19453785523571876	0.8792793650608796	No data	No data	0.06079307976116211	No data	No data	protein tyrosine phosphatase receptor type K
KDR	0.563545706609769	No data	0.6909487624206722	0.6524403548425034	0.8022560626674068	0.8330579711199545	No data	No data	kinase insert domain receptor
ABL1	0.562895402725373	No data	0.6964251798417591	0.6816189304976109	0.9070975683284775	0.6956778617280558	No data	No data	ABL proto-oncogene 1, non-receptor tyrosine kinase
DHFR	0.5628170610943741	No data	No data	0.9157596225733119	No data	0.20063412963525093	No data	No data	dihydrofolate reductase
POT1	0.5625905246703624	0.012158615952232422	0.8132340940550455	No data	0.881957675967446	0.04711463681490064	No data	No data	protection of telomeres 1
PTPRC	0.5618050273589796	No data	0.8429314618235775	No data	0.5949663310460358	0.3070960741295559	No data	No data	protein tyrosine phosphatase receptor type C
SMAD4	0.5613669311990488	0	0.6507299180005849	No data	0.8088380052843941	0.6864218289485097	No data	0.3914466405821228	SMAD family member 4
ARHGAP35	0.5601070685074662	No data	0.7070214498304865	No data	0.4889001599518172	0.141977171692214	No data	No data	Rho GTPase activating protein 35
AKT2	0.5579056347579129	No data	0.6909487624206722	0.6482799358891361	0.9787823668195796	0.825348889746555	No data	No data	AKT serine/threonine kinase 2
HRAS	0.5574465195663104	No data	0.6365268706631612	No data	0.9793776545336694	0.540389272671158	No data	No data	HRas proto-oncogene, GTPase
HIP1	0.5570912415330099	0.0029670841674015722	0.88467979591882	No data	No data	0.6272663743689906	No data	No data	huntingtin interacting protein 1
BMPR1A	0.555686835103934	0.25963711147996316	0.8387097201734968	No data	No data	0.4699642804869837	No data	No data	bone morphogenetic protein receptor type 1A
MSI2	0.5534212503578088	No data	0.8761776773179629	No data	No data	0.6831651305702834	No data	No data	musashi RNA binding protein 2
DNMT3A	0.5526055626340965	No data	0.6977410756532464	0.17341226001871488	0.7433116524576656	0.6570958396881202	No data	No data	DNA methyltransferase 3 alpha
BCL2	0.5525123657204956	No data	0.8277568853313232	0.14977050677826298	0.40693611678755154	0.9385348963103128	No data	No data	BCL2 apoptosis regulator
